x,y,Action.UP,Action.DOWN,Action.RIGHT,Action.LEFT,Action.MAX
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,3,0,0,0,0,0
0,4,0,0,0,0,0
0,5,0,0,0,0,0
0,6,0,0,0,0,0
0,7,0,0,0,0,0
0,8,0,0,0,0,0
0,9,0,0,0,0,0
0,10,0,0,0,0,0
0,11,0,0,0,0,0
0,12,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,2.200354109927795,2.8249812223984776,0,8
1,2,2.5271219857451475,0.09085704668890374,0,0,1
1,3,0.7136584674050492,0.0014911096171980815,0,0,1
1,4,0.03147898080751505,0.0,0,0,1
1,5,0.0,0.0,0,0,0.0
1,6,0.0,0.0,0,0,0.0
1,7,0.0,0.0,0,0,0.0
1,8,0.0,0.0,0,0,0.0
1,9,0.0,0.0,0,0,0.0
1,10,0.0,0.0,0,0,0.0
1,11,0.0,0,0.0,0,0.0
1,12,0,0,0,0,0
2,0,0,0,0,0,0
2,1,0,0,3.1388680248871994,2.5335062793770096,8
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0.0,0.0,0.0
2,12,0,0,0,0,0
3,0,0,0,0,0,0
3,1,0,2.7748570882260766,3.4876311387635575,2.775137674520024,8
3,2,3.131197750056846,0.19250358831792125,0,0,1
3,3,1.1017276215756882,0.0,0,0,1
3,4,0.06409273469175562,0.0,0,0,1
3,5,0.0,0.0,0,0,0.0
3,6,0.0,0.0,0,0,0.0
3,7,0.0,0,0,0,0.0
3,8,0,0,0,0,0
3,9,0,0,0.0,0,0.0
3,10,0,0,0,0,0
3,11,0,0,0.0,0.0,0.0
3,12,0,0,0,0,0
4,0,0,0,0,0,0
4,1,0,0,3.8751457097372883,3.1258673537124464,8
4,2,0,0,0,0,0
4,3,0,0,0,0,0
4,4,0,0,0,0,0
4,5,0,0,0,0,0
4,6,0,0,0,0,0
4,7,0,0,0,0,0
4,8,0,0,0,0,0
4,9,0,0,0.0,0.0,0.0
4,10,0,0,0,0,0
4,11,0,0,0.0,0.0,0.0
4,12,0,0,0,0,0
5,0,0,0,0,0,0
5,1,0,4.305717455263656,0,3.4854466396710477,2
5,2,3.856607260304685,4.784130505848511,0,0,2
5,3,4.2975440290715134,4.238376088235374,5.315700562053905,0,8
5,4,4.773905449400612,0.39637800652905725,0,0,1
5,5,1.837083231134371,0.0,5.552901834772441e-18,0,1
5,6,0.0,0.0,0,0,0.0
5,7,0.0,0.0,0,0,0.0
5,8,0.0,0.0,0,0,0.0
5,9,0.0,0,0,0.0,0.0
5,10,0,0,0,0,0
5,11,0,0,0.0,0.0,0.0
5,12,0,0,0,0,0
6,0,0,0,0,0,0
6,1,0,0,0,0,0
6,2,0,0,0,0,0
6,3,0,0,5.906333957837676,4.763995923424435,8
6,4,0,0,0,0,0
6,5,0,0,0.0,0.14109811054063373,4
6,6,0,0,0,0,0
6,7,0,0,0,0,0
6,8,0,0,0,0,0
6,9,0,0,0,0,0
6,10,0,0,0,0,0
6,11,0,0,0.0,0.0,0.0
6,12,0,0,0,0,0
7,0,0,0,0,0,0
